May 17 22:31:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[1111]/avPublisher T=main | avPublisher.c sampleTimerHandler() 613 | Sample Timeout Handler
May 17 22:32:03 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[1111]/avPublisher T=main | avPublisher.c sampleTimerHandler() 613 | Sample Timeout Handler
May 17 22:32:09 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:32:09 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:32:09 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c PacketSwitchHandler() 1973 | New PS state unknown PS state 5
May 17 22:32:09 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:32:10 swi-mdm9x15 user.warn Legato: -WRN- | avcDaemon[1195]/avcDaemon T=main | avcClient.c ConnectionStateHandler() 317 | Disconnected from data connection service, current state 1
May 17 22:32:10 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcClient.c BearerEventCb() 251 | Connected 0
May 17 22:32:10 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:32:10 swi-mdm9x15 user.info Legato:  INFO | avcControl[1014]/avcControl T=main | avcControl.c StatusHandler() 167 | Air Vantage agent reported update status: SESSION_STOPPED
May 17 22:32:10 swi-mdm9x15 user.info Legato:  INFO | errorService[1042]/errorHandler T=main | errorHandler.c avSessionStateHandler() 66 | AV Session State Handler 1
May 17 22:32:10 swi-mdm9x15 user.warn Legato: -WRN- | errorService[1042]/errorHandler T=main | errorHandler.c avSessionStateHandler() 74 | Lost AV session
May 17 22:32:10 swi-mdm9x15 user.info Legato:  INFO | errorService[1042]/errorHandler T=main | errorHandler.c avSessionStateHandler() 75 | Releasing AV session
May 17 22:32:10 swi-mdm9x15 user.info Legato:  INFO | photoService[1079]/photoManager T=main | photoManager.c avSessionStateHandler() 662 | AV Session State Handler 1
May 17 22:32:10 swi-mdm9x15 user.warn Legato: -WRN- | photoService[1079]/photoManager T=main | photoManager.c avSessionStateHandler() 670 | Lost AV session
May 17 22:32:10 swi-mdm9x15 user.info Legato:  INFO | photoService[1079]/photoManager T=main | photoManager.c avSessionStateHandler() 671 | Releasing AV session
May 17 22:32:10 swi-mdm9x15 user.err Legato: =ERR= | avcDaemon[1195]/avcDaemon T=main | avData.c le_avdata_ReleaseSession() 3839 | Invalid session request reference (nil)
May 17 22:32:10 swi-mdm9x15 user.err Legato: =ERR= | avcDaemon[1195]/avcDaemon T=main | avData.c le_avdata_ReleaseSession() 3839 | Invalid session request reference (nil)
May 17 22:32:11 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:32:11 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:32:11 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:32:11 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:32:11 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:32:11 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:32:11 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c InternalSimToolkitHandler() 1448 | QMI_UIM_REFRESH_COMPLETE_REQ_V01: Err 0 resp 0
May 17 22:32:11 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:32:11 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:32:11 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
