logread -f
Apr  3 17:35:58 swi-mdm9x28-wp authpriv.info dropbear[4439]: Child connection from 192.168.2.3:56913
Apr  3 17:36:02 swi-mdm9x28-wp authpriv.notice dropbear[4439]: Password auth succeeded for 'root' from 192.168.2.3:56913
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateDaemon.c le_update_Start() 2092 | Update request accepted.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[4444]/framework T=main | LE_FILENAME user_Create() 1370 | Created user 'SecurityUnpack' with uid 1024 and gid 1024.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum da6abe287ad89d4c133768063b44a947 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum ddef99431a86b4cc236d5b04abfe5666 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum 87b1488b400ad6a6fd380fe4297545f2 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum ab1e8460152d0ab22d13dd28e366c6f4 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum b90e5184d3a8864edb9b288ad8df5f02 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum 3b784d7e383e75d5136a7ec090169787 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum fcc2cf715d03a49be3cb1f01102fba74 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum e0c4ed114ccc7b5ff1ad8a59ddaf5c2b is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1072 | Removing unused app with MD5 sum b7679b75f6cca98464d4680fc8837704.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum fb5ae1eb69455d6af7bd1efa5d00b01b is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum 56c5eb34ca871da24767dfcbb3a801a6 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum 3e87d6e0ebef33669f85856323f0c42e is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum c7a5bacec69cb75571937cd16850ad2c is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum c681852e0b1c0a05260209d661233c00 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum 0730aabc4b339c24bebcc64d43c286bd is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum c0a0f0c9d937ef49b817912689470f09 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum ee1625ea4a048228f395017e93509dd3 is still needed.
